Plot_ID,Tray,Rep,Entry,Plot,flowering,Wax Heads,Wax Leaf BOTTOM,Wax Leaf TOP,Yield?
Ral20-LA-1,16.1.1,1,Barley,1,4/9/2020,0,BOTTOM,TOP,Acceptable
Ral20-LA-2,16.1.2,1,LA95135,2,4/12/2020,1,1,0,1
Ral20-LA-3,16.1.3,1,AGS2000,3,4/10/2020,2,3,1,1
Ral20-LA-4,16.1.4,1,LA95135,4,4/12/2020,1,1,0,1
Ral20-LA-5,16.2.1,1,356,5,4/13/2020,4,3,1,1
Ral20-LA-6,16.2.2,1,193,6,4/7/2020,2,2,0,0
Ral20-LA-7,16.2.3,1,251,7,4/9/2020,3,3,0,1
Ral20-LA-8,16.2.4,1,94,8,4/11/2020,3,3,1,1
Ral20-LA-9,16.3.1,1,228,9,4/15/2020,2,4,1,1
Ral20-LA-10,16.3.2,1,AGS2000,10,4/8/2020,4,3,0,1
Ral20-LA-11,16.3.3,1,106,11,4/12/2020,2,2,0,1
Ral20-LA-12,16.3.4,1,92,12,4/8/2020,2,1,0,1
Ral20-LA-13,16.4.1,1,350,13,4/11/2020,3,3,1,1
Ral20-LA-14,16.4.2,1,288,14,4/7/2020,1,2,0,1
Ral20-LA-15,16.4.3,1,255,15,4/8/2020,4,3,0,1
Ral20-LA-16,16.4.4,1,244,16,4/10/2020,4,4,0,1
Ral20-LA-17,16.5.1,1,289,17,4/8/2020,3,2,0,1
Ral20-LA-18,16.5.2,1,311,18,4/11/2020,2,2,0,1
Ral20-LA-19,16.5.3,1,354,19,4/8/2020,4,3,0,1
Ral20-LA-20,16.5.4,1,47,20,4/7/2020,3,1,0,1
Ral20-LA-21,16.6.1,1,LA95135,21,4/11/2020,1,1,0,1
Ral20-LA-22,16.6.2,1,332,22,4/10/2020,3,2,0,1
Ral20-LA-23,16.6.3,1,250,23,4/13/2020,2,1,0,1
Ral20-LA-24,16.6.4,1,56,24,4/7/2020,4,4,0,1
Ral20-LA-25,16.7.1,1,278,25,4/16/2020,4,4,0,1
Ral20-LA-26,16.7.2,1,179,26,4/12/2020,3,4,0,1
Ral20-LA-27,16.7.3,1,294,27,4/8/2020,2,1,0,
Ral20-LA-28,16.7.4,1,182,28,4/9/2020,2,2,0,1
Ral20-LA-29,16.8.1,1,157,29,4/14/2020,4,3,0,1
Ral20-LA-30,16.8.2,1,213,30,4/14/2020,2,2,0,1
Ral20-LA-31,16.8.3,1,245,31,4/13/2020,3,4,0,1
Ral20-LA-32,16.8.4,1,312,32,4/11/2020,2,1,0,
Ral20-LA-33,16.9.1,1,110,33,4/13/2020,4,3,1,
Ral20-LA-34,16.9.2,1,60,34,4/13/2020,2,1,0,1
Ral20-LA-35,16.9.3,1,LA95135,35,4/12/2020,1,0,0,1
Ral20-LA-36,16.9.4,1,339,36,4/5/2020,2,2,0,1
Ral20-LA-37,16.10.1,1,169,37,4/15/2020,4,4,2,1
Ral20-LA-38,16.10.2,1,113,38,4/7/2020,4,3,0,1
Ral20-LA-39,16.10.3,1,120,39,4/10/2020,3,2,0,
Ral20-LA-40,16.10.4,1,7,40,4/13/2020,4,1,0,1
Ral20-LA-41,16.11.1,1,80,41,4/13/2020,3,4,0,1
Ral20-LA-42,16.11.2,1,206,42,4/8/2020,3,3,0,1
Ral20-LA-43,16.11.3,1,349,43,4/13/2020,1,4,0,1
Ral20-LA-44,16.11.4,1,141,44,4/10/2020,1,2,0,1
Ral20-LA-45,16.12.1,1,341,45,4/13/2020,3,4,1,1
Ral20-LA-46,16.12.2,1,AGS2000,46,4/7/2020,4,3,0,1
Ral20-LA-47,16.12.3,1,90,47,4/12/2020,1,4,2,
Ral20-LA-48,16.12.4,1,159,48,4/6/2020,2,3,0,1
Ral20-LA-49,16.13.1,1,224,49,4/8/2020,2,3,0,1
Ral20-LA-50,16.13.2,1,189,50,4/6/2020,2,1,0,1
Ral20-LA-51,16.13.3,1,145,51,4/5/2020,3,2,0,
Ral20-LA-52,16.13.4,1,38,52,4/9/2020,3,4,3,1
Ral20-LA-53,16.14.1,1,126,53,4/12/2020,1,4,3,1
Ral20-LA-54,16.14.2,1,223,54,4/8/2020,3,2,0,0
Ral20-LA-55,16.14.3,1,167,55,4/9/2020,3,3,1,1
Ral20-LA-56,16.14.4,1,LA95135,56,4/10/2020,1,1,0,1
Ral20-LA-57,16.15.1,1,196,57,4/14/2020,2,3,0,1
Ral20-LA-58,16.15.2,1,201,58,4/7/2020,2,2,0,0
Ral20-LA-59,16.15.3,1,239,59,4/10/2020,3,4,1,0
Ral20-LA-60,16.15.4,1,353,60,4/6/2020,2,2,0,1
Ral20-LA-61,16.16.1,1,23,61,4/14/2020,3,4,2,1
Ral20-LA-62,16.16.2,1,343,62,4/9/2020,2,4,1,1
Ral20-LA-63,16.16.3,1,115,63,4/10/2020,2,4,0,1
Ral20-LA-64,16.16.4,1,199,64,4/5/2020,1,3,0,1
Ral20-LA-65,16.17.1,1,328,65,4/8/2020,3,2,0,0
Ral20-LA-66,16.17.2,1,AGS2000,66,4/5/2020,4,4,0,1
Ral20-LA-67,16.17.3,1,340,67,4/6/2020,4,3,0,1
Ral20-LA-68,16.17.4,1,274,68,4/8/2020,3,3,0,1
Ral20-LA-69,16.18.1,1,55,69,4/7/2020,2,3,0,1
Ral20-LA-70,16.18.2,1,11,70,4/4/2020,4,4,1,1
Ral20-LA-71,16.18.3,1,163,71,4/9/2020,1,2,0,1
Ral20-LA-72,16.18.4,1,348,72,4/9/2020,3,1,0,1
Ral20-LA-73,16.19.1,1,253,73,4/5/2020,1,1,0,1
Ral20-LA-74,16.19.2,1,359,74,4/7/2020,2,3,1,1
Ral20-LA-75,16.19.3,1,284,75,4/12/2020,3,4,0,1
Ral20-LA-76,16.19.4,1,257,76,4/5/2020,1,1,0,1
Ral20-LA-77,16.20.1,1,122,77,4/8/2020,2,2,0,1
Ral20-LA-78,16.20.2,1,174,78,4/7/2020,2,4,2,1
Ral20-LA-79,16.20.3,1,281,79,4/12/2020,4,4,1,1
Ral20-LA-80,16.20.4,1,177,80,4/11/2020,2,4,0,1
Ral20-LA-81,17.1.1,1,Barley,81,4/10/2020,0,BOTTOM,,1
Ral20-LA-82,17.1.2,1,AGS2000,82,4/4/2020,4,3,0,1
Ral20-LA-83,17.1.3,1,LA95135,83,4/8/2020,1,1,0,1
Ral20-LA-84,17.1.4,1,AGS2000,84,4/9/2020,4,4,0,1
Ral20-LA-85,17.2.1,1,347,85,4/12/2020,3,3,0,1
Ral20-LA-86,17.2.2,1,276,86,4/9/2020,2,1,0,1
Ral20-LA-87,17.2.3,1,58,87,4/4/2020,2,2,0,1
Ral20-LA-88,17.2.4,1,321,88,4/8/2020,2,3,0,1
Ral20-LA-89,17.3.1,1,207,89,4/8/2020,3,3,0,1
Ral20-LA-90,17.3.2,1,13,90,4/2/2020,2,2,0,1
Ral20-LA-91,17.3.3,1,160,91,4/4/2020,1,2,0,1
Ral20-LA-92,17.3.4,1,40,92,4/3/2020,2,3,0,1
Ral20-LA-93,17.4.1,1,283,93,4/9/2020,2,2,0,1
Ral20-LA-94,17.4.2,1,292,94,4/7/2020,1,2,0,1
Ral20-LA-95,17.4.3,1,344,95,4/3/2020,2,2,0,1
Ral20-LA-96,17.4.4,1,330,96,4/4/2020,3,3,0,1
Ral20-LA-97,17.5.1,1,91,97,4/4/2020,2,1,0,1
Ral20-LA-98,17.5.2,1,280,98,4/5/2020,2,2,0,1
Ral20-LA-99,17.5.3,1,273,99,4/6/2020,2,2,0,0
Ral20-LA-100,17.5.4,1,6,100,4/7/2020,4,3,0,1
Ral20-LA-101,17.6.1,1,84,101,4/5/2020,3,4,0,1
Ral20-LA-102,17.6.2,1,26,102,4/10/2020,4,3,0,0
Ral20-LA-103,17.6.3,1,147,103,4/8/2020,3,3,0,1
Ral20-LA-104,17.6.4,1,LA95135,104,4/8/2020,1,1,0,1
