Entry,Rep,WaxSpike,WaxLeafBOTTOM
12VTK4-118,1,3,1
12VTK4-118,2,3,2
14VDH-SRW14-150,1,2,2
14VDH-SRW14-150,2,1,2
15VDH-FHB-MAS25-15,1,3,4
15VDH-FHB-MAS25-15,2,3,4
15VDH-FHB-MAS29-15,1,2,2
15VDH-FHB-MAS29-15,2,2,3
15VDH-FHB-MAS33-13,1,4,3
15VDH-FHB-MAS33-13,2,3,2
15VDH-FHB-MAS34-18,1,3,4
15VDH-FHB-MAS34-18,2,3,4
15VDH-FHB-MAS38-01,1,2,1
15VDH-FHB-MAS38-01,2,2,1
15VDH-SRW02-307,1,3,2
15VDH-SRW02-307,2,3,4
15VDH-SRW06-235,1,2,3
15VDH-SRW06-235,2,3,4
15VDH-SRW06-259,1,1,2
15VDH-SRW06-259,2,2,4
15VDH-SRW07-231,1,2,2
15VDH-SRW07-231,2,3,2
15VDH-SRW12-134,1,3,3
15VDH-SRW12-134,2,3,3
15VTK-1-101,1,4,4
15VTK-1-101,2,3,4
16VDH-SRW03-018,1,3,4
16VDH-SRW03-018,2,3,4
16VDH-SRW03-023,1,1,3
16VDH-SRW03-023,2,1,3
16VDH-SRW04-028,1,2,1
16VDH-SRW04-028,2,1,1
16VDH-SRW05-074,1,1,1
16VDH-SRW05-074,2,2,1
16VDH-SRW05-205,1,3,2
16VDH-SRW05-205,2,2,2
16VDH-SRW07-067,1,2,2
16VDH-SRW07-067,2,3,3
16VDH-SRW09-025,1,1,3
16VDH-SRW09-025,2,1,1
18-T1-UMD,1,3,4
18-T1-UMD,2,3,4
18-T2-UMD,1,2,3
18-T2-UMD,2,2,3
AR11051-15-3,1,1,0
AR11051-15-3,2,1,1
AR12080DH-113,1,3,1
AR12080DH-113,2,3,2
AR12080DH-56,1,2,1
AR12080DH-56,2,2,1
AR12486-2422N,1,2,1
AR12486-2422N,2,3,2
AR12486-2427N,1,3,1
AR12486-2427N,2,3,2
AR15V07-15-1804N,1,2,2
AR15V07-15-1804N,2,2,3
AR15V21-09-2089N,1,3,3
AR15V21-09-2089N,2,3,2
AR15V26-10-2188N,1,2,3
AR15V26-10-2188N,2,1,2
ARDH14002-22-0260N,1,2,2
ARDH14002-22-0260N,2,3,1
ARS16W0088,1,0,2
ARS16W0088,2,0,3
ARS17W0004,1,0,4
ARS17W0004,2,0,3
ARS17W0150,1,0,0
ARS17W0150,2,0,0
ARS17W0181,1,0,0
ARS17W0181,2,0,2
ARS17W0227,1,0,2
ARS17W0227,2,0,2
ARS17W0353,1,1,4
ARS17W0353,2,1,1
ARS17W0411,1,0,0
ARS17W0411,2,1,0
ARS17W0528,1,3,2
ARS17W0528,2,3,1
ARS17W0552,1,3,3
ARS17W0552,2,3,1
ARS17W0845,1,0,1
ARS17W0845,2,0,1
ARS17W0937,1,3,0
ARS17W0937,2,3,1
ARS17W1116,1,0,0
ARS17W1116,2,0,0
DH13SRW022-23,1,1,1
DH13SRW022-23,2,1,1
DH15SRW65-53,1,3,1
DH15SRW65-53,2,3,1
FL14167LDH-180,1,2,1
FL14167LDH-180,2,3,2
FL15105-LDH018,1,1,1
FL15105-LDH018,2,2,1
FL15105-LDH039,1,2,1
FL15105-LDH039,2,2,1
FL15105-LDH084,1,1,0
FL15105-LDH084,2,2,1
FL15105-LDH086,1,2,2
FL15105-LDH086,2,1,2
FL15105-LDH092,1,1,0
FL15105-LDH092,2,3,1
FL15105-LDH110,1,1,1
FL15105-LDH110,2,2,1
FL15105-LDH111,1,1,1
FL15105-LDH111,2,2,1
FL15105-LDH145,1,1,2
FL15105-LDH145,2,2,2
FL15105-LDH159,1,1,1
FL15105-LDH159,2,2,1
FL15105-LDH168,1,2,0
FL15105-LDH168,2,2,1
FL15105-LDH177,1,2,1
FL15105-LDH177,2,2,1
FL15105-LDH182,1,2,0
FL15105-LDH182,2,2,1
FL15105-LDH253,1,1,2
FL15105-LDH253,2,2,1
FL15105-LDH261,1,1,0
