genotype,R21-spike,K21-spike,R21-leafB,K21-leafB,R21-HDJulian,K21-HDJulian
chrom,,,,,,
cM,,,,,,
UX1992-1,1.4813716,.,2.999150467,.,104.2475749,.
UX1992-10,3.4813716,3.5,2.999150467,3,108.2475749,103.5
UX1992-100,0.9813716,1,0.999150467,1.5,109.7475749,107
UX1992-101,2.4813716,2,3.499150467,2.5,112.2475749,107.5
UX1992-102,2.9813716,3.5,3.999150467,4,106.2475749,101.5
UX1992-103,3.9813716,4,3.999150467,4,108.2475749,105
UX1992-104,3.4813716,3,3.499150467,3,111.7475749,106.5
UX1992-105,0.9813716,2,3.499150467,3,107.7475749,105.0429506
UX1992-106,2.9813716,4,3.499150467,3.5,107.2475749,103.5
UX1992-107,0.9813716,2.5,2.499150467,2,111.7475749,106.5
UX1992-108,2.4813716,1,3.999150467,2.5,107.2475749,102
UX1992-109,2.92023756,.,3.977899736,.,108.1891067,.
UX1992-11,3.9813716,4,3.999150467,4,107.7475749,105.5
UX1992-110,2.9813716,3,3.499150467,3.5,110.7475749,108
UX1992-111,2.4813716,2.5,3.999150467,3,108.7475749,104
UX1992-112,1.9813716,2,1.999150467,1.5,110.2475749,108
UX1992-113,1.4813716,1,2.499150467,2.5,105.2475749,102.5
UX1992-114,3.9813716,3,3.999150467,4,108.2475749,103.5
UX1992-115,2.9813716,3.5,3.999150467,4,111.2475749,107
UX1992-116,3.92023756,.,2.977899736,.,108.1891067,.
UX1992-117,0.9813716,1.5,2.999150467,2.5,106.2475749,105.5
UX1992-118,2.4813716,1.5,3.999150467,2.5,107.7475749,105.5
UX1992-119,2.9813716,3,3.999150467,2,109.2475749,105
UX1992-12,0.9813716,1,1.499150467,1,106.7475749,104
UX1992-120,2.4813716,3.5,1.499150467,1.5,107.7475749,105
UX1992-121,2.9813716,4.043820758,3.999150467,3.921060832,110.7475749,108.0429506
UX1992-122,1.9813716,4,3.499150467,4,108.7475749,104.5
UX1992-123,0.9813716,2,2.999150467,3,105.7475749,103.5
UX1992-124,3.9813716,3,3.999150467,4,109.7475749,105.5
UX1992-125,0.9813716,1,0.999150467,2.5,108.2475749,105.5
UX1992-126,2.9813716,4,3.999150467,2.5,104.7475749,103.0429506
UX1992-127,1.9813716,2.5,2.999150467,1.5,112.2475749,107.5
UX1992-128,2.4813716,1.5,3.499150467,2.5,106.2475749,103
UX1992-129,0.9813716,1,2.499150467,1.5,106.7475749,103
UX1992-13,0.9813716,1,2.999150467,4,110.2475749,106.5
UX1992-130,0.9813716,1,2.999150467,2,104.7475749,102
UX1992-131,2.9813716,2,1.999150467,1.5,108.2475749,104
UX1992-132,3.4813716,4,3.499150467,3,109.7475749,105.5
UX1992-133,1.4813716,2.5,3.999150467,3,106.2475749,105
UX1992-134,0.9813716,1,1.499150467,1.5,107.2475749,104
UX1992-135,1.9813716,4,2.499150467,3,107.2475749,105
UX1992-136,2.4813716,1.5,3.999150467,3,109.2475749,105
UX1992-137,3.9813716,4,3.999150467,2,109.7475749,104.0429506
UX1992-138,2.9813716,2.5,2.499150467,2,108.2475749,105.5
UX1992-139,2.9813716,3,3.999150467,3.5,109.7475749,106
UX1992-14,2.4813716,3,3.999150467,3.5,110.2475749,106.0429506
UX1992-140,2.4813716,2.5,3.999150467,4,109.2475749,105.0429506
UX1992-141,1.4813716,2,1.499150467,2.5,106.7475749,104
UX1992-142,1.9813716,3,2.499150467,3.5,108.2475749,104.5
UX1992-143,0.9813716,.,2.499150467,.,106.7475749,.
UX1992-144,1.92023756,.,2.977899736,.,107.1891067,.
UX1992-145,2.9813716,4,3.499150467,4,111.2475749,107
UX1992-146,0.92023756,.,1.977899736,.,109.1891067,.
UX1992-147,2.9813716,3,2.999150467,2.5,109.7475749,106
UX1992-148,3.4813716,4,2.499150467,3,112.2475749,108
UX1992-149,1.9813716,2.5,3.999150467,3.5,111.7475749,107.5
UX1992-15,2.9813716,3,3.499150467,3,111.2475749,109
UX1992-150,2.9813716,1.5,3.999150467,3,111.7475749,105.0429506
UX1992-151,2.4813716,3.5,3.499150467,2.5,113.2475749,108
UX1992-152,2.9813716,3,2.999150467,3,109.2475749,106
UX1992-153,1.9813716,2,3.999150467,4,108.2475749,106
UX1992-154,0.9813716,2,1.499150467,2,108.2475749,105
UX1992-155,2.4813716,2.5,1.999150467,2.5,107.7475749,103.5
UX1992-156,1.4813716,2.043820758,1.499150467,0.921060832,108.2475749,105.0429506
UX1992-157,2.4813716,3,2.999150467,3,109.7475749,107
UX1992-158,0.9813716,.,3.499150467,.,103.7475749,.
UX1992-159,3.4813716,3.5,3.999150467,3.5,108.7475749,107.5
UX1992-16,2.9813716,3,3.999150467,2,109.2475749,105
UX1992-160,2.9813716,3.5,3.999150467,4,108.7475749,107
UX1992-161,1.4813716,2,1.999150467,2,107.7475749,104
UX1992-162,1.9813716,2,3.999150467,3.5,107.7475749,106.0429506
UX1992-163,2.4813716,2.5,3.499150467,3,108.2475749,105
UX1992-164,2.4813716,4,3.999150467,3,108.7475749,105.5
UX1992-165,3.9813716,4,3.999150467,4,111.2475749,107
UX1992-166,2.9813716,2,3.999150467,3,108.2475749,105
UX1992-167,2.4813716,2.5,3.999150467,4,110.7475749,106
UX1992-168,1.9813716,3,3.499150467,3,108.7475749,106.5
UX1992-169,2.4813716,2.5,3.499150467,3,109.2475749,106.5
UX1992-17,0.9813716,1.5,3.999150467,3.5,108.7475749,106
UX1992-170,1.4813716,1,1.999150467,1,105.2475749,102
UX1992-171,2.9813716,3.5,3.499150467,2,104.7475749,103.0429506
UX1992-172,2.9813716,4,1.999150467,1,111.2475749,105.0429506
UX1992-173,3.9813716,4,3.499150467,2.5,111.2475749,105
UX1992-174,2.4813716,3,2.499150467,2.5,107.7475749,106.0429506
UX1992-175,3.4813716,3.5,1.999150467,2,110.2475749,106.5
UX1992-176,2.4813716,3.5,3.999150467,4,106.2475749,103
UX1992-177,0.9813716,3,3.499150467,3,109.7475749,106
UX1992-178,0.9813716,1,1.999150467,2,107.2475749,103.5
UX1992-179,3.9813716,3.5,3.999150467,4,113.2475749,110.5
UX1992-18,2.4813716,2,2.999150467,3.5,110.7475749,105.5
UX1992-180,1.92023756,.,2.977899736,.,110.1891067,.
UX1992-181,0.9813716,2,3.999150467,2.5,108.2475749,104
UX1992-182,1.9813716,2,2.499150467,2,108.7475749,104.5
UX1992-183,2.4813716,3,2.999150467,3.5,109.2475749,106.5
UX1992-184,1.9813716,1,3.999150467,4,112.2475749,108
UX1992-185,1.4813716,2,2.999150467,2.5,110.2475749,108
UX1992-186,3.4813716,2,3.999150467,4,108.2475749,105
UX1992-187,1.4813716,3.5,3.499150467,1.5,110.2475749,107
UX1992-188,1.4813716,1.5,2.499150467,1.5,111.2475749,106.0429506
UX1992-189,0.9813716,1.5,1.999150467,2,108.7475749,104
UX1992-19,0.9813716,3,0.999150467,2.5,107.2475749,104
UX1992-190,0.9813716,2.5,1.499150467,2.5,108.7475749,105.5
UX1992-191,1.9813716,2.5,2.999150467,2.5,108.2475749,105
UX1992-192,2.4813716,4,3.499150467,4,112.2475749,106
UX1992-193,0.9813716,1,1.499150467,2.5,107.2475749,104.5
UX1992-194,1.9813716,2,3.499150467,2.5,110.2475749,107
UX1992-195,2.9813716,4,2.999150467,2,107.2475749,104.5
UX1992-196,1.9813716,4,2.999150467,2,107.2475749,103.5
UX1992-197,2.9813716,4,1.499150467,1,101.7475749,100
UX1992-198,2.4813716,3.5,3.999150467,4,107.2475749,104.5
UX1992-199,2.9813716,3.5,2.499150467,2.5,110.2475749,105
UX1992-2,3.4813716,2,3.499150467,2.5,113.2475749,107.0429506
UX1992-20,0.9813716,1,1.499150467,2,101.7475749,100
UX1992-200,0.92023756,.,1.977899736,.,108.1891067,.
UX1992-201,2.4813716,4,0.999150467,1,100.7475749,100
UX1992-202,1.4813716,2.5,1.499150467,1.921060832,110.2475749,106.5
UX1992-203,3.4813716,3.5,3.999150467,3.5,109.2475749,105.5
UX1992-204,0.9813716,1,1.999150467,3,107.7475749,104
UX1992-205,3.4813716,3.5,3.999150467,3.5,109.7475749,105
UX1992-206,1.9813716,1.5,3.999150467,3.5,110.2475749,106
UX1992-207,1.92023756,.,1.977899736,.,104.1891067,.
UX1992-208,1.9813716,2,2.999150467,3,108.2475749,104.5
UX1992-21,1.4813716,1.5,1.999150467,2,105.7475749,105.5
UX1992-210,.,.,.,.,.,.
UX1992-211,.,.,.,.,.,.
UX1992-212,.,.,.,.,.,.
UX1992-213,.,.,.,.,.,.
UX1992-214,.,.,.,.,.,.
UX1992-215,.,.,.,.,.,.
UX1992-216,.,.,.,.,.,.
UX1992-217,.,.,.,.,.,.
UX1992-218,.,.,.,.,.,.
UX1992-219,.,.,.,.,.,.
