Rep,Entry,Wax Spike 4/22/21,Wax Leaf Bottom 4/22/21,flowering
1,Hilliard,1,1,4/15/2021
1,Hilliard,1,2,4/16/2021
1,Hilliard,1,1,4/14/2021
1,Hilliard,1,1,4/15/2021
1,Hilliard,1,1,4/16/2021
2,Hilliard,1,1,4/14/2021
2,Hilliard,1,1,4/14/2021
2,Hilliard,1,1,4/16/2021
1,GA06493-13LE6,4,4,4/16/2021
1,GA06493-13LE6,4,4,4/17/2021
1,GA06493-13LE6,4,4,4/16/2021
1,GA06493-13LE6,4,4,4/16/2021
1,GA06493-13LE6,4,4,4/19/2021
2,GA06493-13LE6,4,4,4/15/2021
2,GA06493-13LE6,4,4,4/17/2021
2,GA06493-13LE6,4,4,4/17/2021
2,GA06493-13LE6,4,4,.
1,UX1992-208,3,3,4/16/2021
2,UX1992-208,1,3,4/15/2021
1,UX1992-206,2,3,4/17/2021
2,UX1992-206,1,4,4/17/2021
1,UX1992-205,3,3,4/16/2021
2,UX1992-205,4,4,4/16/2021
1,UX1992-204,1,3,4/16/2021
2,UX1992-204,1,3,4/14/2021
1,UX1992-203,3,3,4/16/2021
2,UX1992-203,4,4,4/17/2021
1,UX1992-202,2,2,4/18/2021
2,UX1992-202,3,.,4/17/2021
1,UX1992-201,4,1,4/11/2021
2,UX1992-201,4,1,4/11/2021
1,UX1992-199,3,3,4/16/2021
2,UX1992-199,4,2,4/16/2021
1,UX1992-198,4,4,4/15/2021
2,UX1992-198,3,4,4/16/2021
1,UX1992-197,4,1,4/11/2021
2,UX1992-197,4,1,4/11/2021
1,UX1992-196,4,2,4/14/2021
2,UX1992-196,4,2,4/15/2021
1,UX1992-195,4,2,4/16/2021
2,UX1992-195,4,2,4/15/2021
1,UX1992-194,2,2,4/18/2021
2,UX1992-194,2,3,4/18/2021
1,UX1992-193,1,3,4/15/2021
2,UX1992-193,1,2,4/16/2021
1,UX1992-192,4,4,4/16/2021
2,UX1992-192,4,4,4/18/2021
1,UX1992-191,2,2,4/15/2021
2,UX1992-191,3,3,4/17/2021
1,UX1992-190,2,3,4/16/2021
2,UX1992-190,3,2,4/17/2021
1,UX1992-189,2,3,4/15/2021
2,UX1992-189,1,1,4/15/2021
1,UX1992-188,2,2,4/17/2021
2,UX1992-188,1,1,.
1,UX1992-187,4,2,4/18/2021
2,UX1992-187,3,1,4/18/2021
1,UX1992-186,2,4,4/16/2021
2,UX1992-186,2,4,4/16/2021
1,UX1992-185,2,2,4/19/2021
2,UX1992-185,2,3,4/19/2021
1,UX1992-184,1,4,4/19/2021
2,UX1992-184,1,4,4/19/2021
1,UX1992-183,2,4,4/17/2021
2,UX1992-183,4,3,4/18/2021
1,UX1992-182,2,2,4/15/2021
2,UX1992-182,2,2,4/16/2021
1,UX1992-181,2,3,4/14/2021
2,UX1992-181,2,2,4/16/2021
1,UX1992-179,4,4,4/21/2021
2,UX1992-179,3,4,4/22/2021
1,UX1992-178,1,3,4/14/2021
2,UX1992-178,1,1,4/15/2021
1,UX1992-177,3,3,4/17/2021
2,UX1992-177,3,3,4/17/2021
1,UX1992-176,3,4,4/14/2021
2,UX1992-176,4,4,4/14/2021
1,UX1992-175,4,2,4/18/2021
2,UX1992-175,3,2,4/17/2021
1,UX1992-174,2,2,4/17/2021
2,UX1992-174,4,3,.
1,UX1992-173,4,3,4/16/2021
2,UX1992-173,4,2,4/16/2021
1,UX1992-172,4,1,4/16/2021
2,UX1992-172,4,1,.
1,UX1992-171,4,2,4/14/2021
2,UX1992-171,3,2,.
1,UX1992-170,1,1,4/13/2021
2,UX1992-170,1,1,4/13/2021
1,UX1992-169,2,3,4/17/2021
2,UX1992-169,3,3,4/18/2021
1,UX1992-168,3,2,4/16/2021
2,UX1992-168,3,4,4/19/2021
1,UX1992-167,2,4,4/17/2021
2,UX1992-167,3,4,4/17/2021
1,UX1992-166,1,3,4/16/2021
2,UX1992-166,3,3,4/16/2021
