Rep,Entry,WaxHeads,WaxLeafBOTTOM,WaxLeafTOP,WaxLeafComp
1,126,1,4,3,7
1,38,3,4,3,7
1,301,3,4,3,7
2,10,3,4,3,7
1,35,4,4,3,7
1,231,4,4,3,7
2,35,4,4,3,7
2,331,4,4,3,7
1,90,1,4,2,6
1,174,2,4,2,6
1,20,2,4,2,6
1,43,2,4,2,6
2,216,2,4,2,6
2,228,2,4,2,6
2,43,2,4,2,6
1,23,3,4,2,6
1,87,3,4,2,6
1,345,3,4,2,6
1,317,3,4,2,6
1,335,3,4,2,6
2,231,3,4,2,6
1,169,4,4,2,6
1,168,4,4,2,6
1,190,4,4,2,6
1,70,4,4,2,6
1,AGS2000,4,4,2,6
1,299,4,4,2,6
1,AGS2000,4,4,2,6
1,300,4,4,2,6
1,44,4,4,2,6
1,102,4,4,2,6
2,300,4,4,2,6
2,26,4,4,2,6
2,AGS2000,4,4,2,6
1,5,3,3,2,5
1,AGS2000,4,3,2,5
1,9,1,4,1,5
1,228,2,4,1,5
1,343,2,4,1,5
1,45,2,4,1,5
1,67,2,4,1,5
1,186,2,4,1,5
1,17,2,4,1,5
1,25,2,4,1,5
1,308,2,4,1,5
1,139,2,4,1,5
1,266,2,4,1,5
2,90,2,4,1,5
2,177,2,4,1,5
1,341,3,4,1,5
1,239,3,4,1,5
1,309,3,4,1,5
1,171,3,4,1,5
1,313,3,4,1,5
1,155,3,4,1,5
1,29,3,4,1,5
1,252,3,4,1,5
1,282,3,4,1,5
1,96,3,4,1,5
1,315,3,4,1,5
1,306,3,4,1,5
1,261,3,4,1,5
1,22,3,4,1,5
1,100,3,4,1,5
1,357,3,4,1,5
2,308,3,4,1,5
2,94,3,4,1,5
2,360,3,4,1,5
2,301,3,4,1,5
2,322,3,4,1,5
2,173,3,4,1,5
2,221,3,4,1,5
2,23,3,4,1,5
2,38,3,4,1,5
2,255,3,4,1,5
2,186,3,4,1,5
2,109,3,4,1,5
2,87,3,4,1,5
2,100,3,4,1,5
1,11,4,4,1,5
1,281,4,4,1,5
1,205,4,4,1,5
1,331,4,4,1,5
