Rep,Entry,Wax Leaf Bottom 4/26/21,Wax Spike 5/02/21,flowering
1,Hilliard,1,1,4/17/2021
1,Hilliard,1,1,4/18/2021
1,Hilliard,1,1,4/17/2021
1,Hilliard,1,1,4/17/2021
1,Hilliard,1,1,4/16/2021
2,Hilliard,1,1,4/18/2021
2,Hilliard,1,1,4/15/2021
2,Hilliard,1,1,4/17/2021
1,Hilliard,1,1,4/17/2021
1,GA06493-13LE6,4,4,4/19/2021
1,GA06493-13LE6,4,4,4/19/2021
1,GA06493-13LE6,4,4,4/22/2021
1,GA06493-13LE6,4,4,4/19/2021
1,GA06493-13LE6,4,4,4/20/2021
1,GA06493-13LE6,4,4,4/20/2021
2,GA06493-13LE6,4,4,4/20/2021
2,GA06493-13LE6,4,3,4/19/2021
2,GA06493-13LE6,4,4,4/22/2021
2,GA06493-13LE6,4,4,4/19/2021
1,UX1992-208,4,2,4/20/2021
2,UX1992-208,2,2,4/19/2021
1,UX1992-207,2,2,4/15/2021
1,UX1992-206,4,2,4/21/2021
2,UX1992-206,4,2,4/22/2021
1,UX1992-205,4,3,4/19/2021
2,UX1992-205,4,4,4/23/2021
1,UX1992-204,2,1,4/17/2021
2,UX1992-204,2,1,4/21/2021
1,UX1992-203,4,4,4/21/2021
2,UX1992-203,4,3,4/20/2021
1,UX1992-202,1,1,4/21/2021
2,UX1992-202,2,2,4/22/2021
1,UX1992-201,1,3,4/12/2021
2,UX1992-201,1,2,4/12/2021
1,UX1992-200,2,1,4/19/2021
1,UX1992-199,2,3,4/19/2021
2,UX1992-199,3,3,4/24/2021
1,UX1992-198,4,3,4/18/2021
2,UX1992-198,4,2,4/19/2021
1,UX1992-197,1,4,4/13/2021
2,UX1992-197,2,2,4/13/2021
1,UX1992-196,3,2,4/18/2021
2,UX1992-196,3,2,4/19/2021
1,UX1992-195,3,3,4/20/2021
2,UX1992-195,3,3,4/17/2021
1,UX1992-194,3,2,4/20/2021
2,UX1992-194,4,2,4/23/2021
1,UX1992-193,1,1,4/18/2021
2,UX1992-193,2,1,4/19/2021
1,UX1992-192,3,2,4/22/2021
2,UX1992-192,4,3,4/25/2021
1,UX1992-191,3,2,4/21/2021
2,UX1992-191,3,2,4/18/2021
1,UX1992-190,1,1,4/19/2021
2,UX1992-190,2,1,4/21/2021
1,UX1992-189,2,1,4/19/2021
2,UX1992-189,2,1,4/21/2021
1,UX1992-188,2,2,4/22/2021
2,UX1992-188,3,1,4/23/2021
1,UX1992-187,4,2,4/22/2021
2,UX1992-187,3,1,4/21/2021
1,UX1992-186,4,3,4/17/2021
2,UX1992-186,4,4,4/22/2021
1,UX1992-185,4,2,4/21/2021
2,UX1992-185,2,1,4/22/2021
1,UX1992-184,4,2,4/23/2021
2,UX1992-184,4,2,4/24/2021
1,UX1992-183,3,3,4/21/2021
2,UX1992-183,3,2,4/20/2021
1,UX1992-182,2,2,4/19/2021
2,UX1992-182,3,2,4/21/2021
1,UX1992-181,4,1,4/19/2021
2,UX1992-181,4,1,4/20/2021
1,UX1992-180,3,2,4/21/2021
1,UX1992-179,4,4,4/25/2021
2,UX1992-179,4,4,4/24/2021
1,UX1992-178,2,1,4/16/2021
2,UX1992-178,2,1,4/21/2021
1,UX1992-177,4,1,4/20/2021
2,UX1992-177,3,1,4/22/2021
1,UX1992-176,4,3,4/18/2021
2,UX1992-176,4,2,4/17/2021
1,UX1992-175,1,3,4/21/2021
2,UX1992-175,3,4,4/22/2021
1,UX1992-174,2,2,4/19/2021
2,UX1992-174,3,3,4/19/2021
1,UX1992-173,3,4,4/22/2021
2,UX1992-173,4,4,4/23/2021
1,UX1992-172,3,3,4/23/2021
2,UX1992-172,1,3,4/22/2021
1,UX1992-171,4,3,4/16/2021
2,UX1992-171,3,3,4/16/2021
1,UX1992-170,3,2,4/15/2021
2,UX1992-170,1,1,4/18/2021
1,UX1992-169,3,2,4/19/2021
2,UX1992-169,4,3,4/22/2021
1,UX1992-168,3,2,4/19/2021
2,UX1992-168,4,2,4/21/2021
1,UX1992-167,4,2,4/21/2021
2,UX1992-167,4,3,4/23/2021
1,UX1992-166,4,3,4/21/2021
2,UX1992-166,4,3,4/18/2021
1,UX1992-165,4,4,4/22/2021
2,UX1992-165,4,4,4/23/2021
1,UX1992-164,4,3,4/18/2021
2,UX1992-164,4,2,4/22/2021
1,UX1992-163,3,3,4/19/2021
2,UX1992-163,4,2,4/20/2021
1,UX1992-162,4,2,4/19/2021
2,UX1992-162,4,2,4/19/2021
1,UX1992-161,2,1,4/20/2021
2,UX1992-161,2,2,4/18/2021
1,UX1992-160,4,3,4/18/2021
2,UX1992-160,4,3,4/22/2021
1,UX1992-159,4,4,4/19/2021
2,UX1992-159,4,3,4/21/2021
1,UX1992-158,4,1,4/14/2021
2,UX1992-158,3,1,4/16/2021
1,UX1992-157,4,3,4/22/2021
2,UX1992-157,2,2,4/20/2021
1,UX1992-156,1,1,4/19/2021
2,UX1992-156,2,2,4/20/2021
1,UX1992-155,1,2,4/18/2021
2,UX1992-155,3,3,4/20/2021
1,UX1992-154,2,1,4/19/2021
2,UX1992-154,1,1,4/20/2021
1,UX1992-153,4,3,4/19/2021
2,UX1992-153,4,1,4/20/2021
1,UX1992-152,3,3,4/20/2021
2,UX1992-152,3,3,4/21/2021
1,UX1992-151,3,3,4/24/2021
2,UX1992-151,4,2,4/25/2021
1,UX1992-150,4,3,4/23/2021
2,UX1992-150,4,3,4/23/2021
1,UX1992-149,4,2,4/23/2021
2,UX1992-149,4,2,4/23/2021
1,UX1992-148,2,3,4/22/2021
2,UX1992-148,3,4,4/25/2021
1,UX1992-147,4,4,4/21/2021
2,UX1992-147,2,2,4/21/2021
1,UX1992-146,2,1,4/20/2021
1,UX1992-145,4,3,4/23/2021
2,UX1992-145,3,3,4/22/2021
1,UX1992-144,3,2,4/18/2021
1,UX1992-143,3,1,4/17/2021
2,UX1992-143,2,1,4/19/2021
1,UX1992-142,2,2,4/17/2021
2,UX1992-142,3,2,4/22/2021
1,UX1992-141,1,2,4/18/2021
2,UX1992-141,2,1,4/18/2021
1,UX1992-140,4,3,4/22/2021
2,UX1992-140,4,2,4/19/2021
1,UX1992-139,4,3,4/21/2021
2,UX1992-139,4,3,4/21/2021
1,UX1992-138,2,4,4/20/2021
2,UX1992-138,3,2,4/19/2021
1,UX1992-137,4,4,4/19/2021
2,UX1992-137,4,4,4/23/2021
1,UX1992-136,4,2,4/22/2021
2,UX1992-136,4,3,4/19/2021
1,UX1992-135,2,2,4/18/2021
2,UX1992-135,3,2,4/19/2021
1,UX1992-134,1,1,4/18/2021
2,UX1992-134,2,1,4/19/2021
1,UX1992-133,4,2,4/16/2021
2,UX1992-133,4,1,4/19/2021
1,UX1992-132,3,3,4/20/2021
2,UX1992-132,4,4,4/22/2021
1,UX1992-131,3,3,4/18/2021
2,UX1992-131,1,3,4/21/2021
1,UX1992-130,3,1,4/16/2021
2,UX1992-130,3,1,4/16/2021
1,UX1992-129,3,1,4/18/2021
2,UX1992-129,2,1,4/18/2021
1,UX1992-128,4,3,4/17/2021
2,UX1992-128,3,2,4/18/2021
1,UX1992-127,4,2,4/23/2021
2,UX1992-127,2,2,4/24/2021
1,UX1992-126,4,3,4/15/2021
2,UX1992-126,4,3,4/17/2021
1,UX1992-125,1,1,4/20/2021
2,UX1992-125,1,1,4/19/2021
1,UX1992-124,4,4,4/22/2021
2,UX1992-124,4,4,4/20/2021
1,UX1992-123,3,1,4/16/2021
2,UX1992-123,3,1,4/18/2021
1,UX1992-122,4,2,4/21/2021
2,UX1992-122,3,2,4/19/2021
1,UX1992-121,4,3,4/22/2021
2,UX1992-121,4,3,4/22/2021
1,UX1992-120,2,3,4/18/2021
2,UX1992-120,1,2,4/20/2021
1,UX1992-119,4,3,4/19/2021
2,UX1992-119,4,3,4/22/2021
1,UX1992-118,4,2,4/18/2021
2,UX1992-118,4,3,4/20/2021
1,UX1992-117,3,1,4/17/2021
2,UX1992-117,3,1,4/18/2021
1,UX1992-116,3,4,4/19/2021
1,UX1992-115,4,3,4/22/2021
2,UX1992-115,4,3,4/23/2021
1,UX1992-114,4,4,4/19/2021
2,UX1992-114,4,4,4/20/2021
1,UX1992-113,2,2,4/16/2021
2,UX1992-113,3,1,4/17/2021
1,UX1992-112,3,2,4/23/2021
2,UX1992-112,1,2,4/20/2021
1,UX1992-111,4,2,4/18/2021
2,UX1992-111,4,3,4/22/2021
1,UX1992-110,3,3,4/22/2021
2,UX1992-110,4,3,4/22/2021
1,UX1992-109,4,3,4/19/2021
1,UX1992-108,4,3,4/18/2021
2,UX1992-108,4,2,4/19/2021
1,UX1992-107,3,1,4/23/2021
2,UX1992-107,2,1,4/23/2021
1,UX1992-106,4,3,4/19/2021
2,UX1992-106,3,3,4/18/2021
1,UX1992-105,3,1,4/18/2021
2,UX1992-105,4,1,4/20/2021
1,UX1992-104,4,4,4/22/2021
2,UX1992-104,3,3,4/24/2021
1,UX1992-103,4,4,4/19/2021
2,UX1992-103,4,4,4/20/2021
1,UX1992-102,4,3,4/18/2021
2,UX1992-102,4,3,4/17/2021
