Rep,Entry,Wax Leaf Bottom 4/22/21,Wax Spike 4/26/21,flowering
1,LA95135,1,1,4/16/2021
1,AGS2000,4,4,4/15/2021
1,LA95135,1,1,4/19/2021
1,107,3,3,4/18/2021
1,297,1,2,4/12/2021
1,269,2,3,4/16/2021
1,177,3,2,4/19/2021
1,232,2,4,4/19/2021
1,264,3,3,4/11/2021
1,360,3,3,4/17/2021
1,228,4,1,4/19/2021
1,101,4,4,4/14/2021
1,223,3,4,4/12/2021
1,AGS2000,4,4,4/15/2021
1,238,2,1,4/15/2021
1,111,3,4,4/19/2021
1,250,3,1,4/20/2021
1,220,4,4,4/19/2021
1,53,2,2,4/11/2021
1,204,4,2,4/19/2021
1,99,3,4,4/18/2021
1,307,3,3,4/15/2021
1,LA95135,1,1,4/17/2021
1,245,4,2,4/17/2021
1,170,3,3,4/12/2021
1,169,4,4,4/20/2021
1,292,2,2,4/13/2021
1,19,2,3,4/19/2021
1,27,2,1,4/22/2021
1,153,3,3,4/18/2021
1,311,4,3,4/19/2021
1,5,3,2,4/23/2021
1,326,3,2,4/13/2021
1,252,3,3,4/19/2021
1,AGS2000,4,4,4/17/2021
1,2,2,3,4/14/2021
1,308,4,2,4/23/2021
1,55,4,3,4/13/2021
1,87,4,3,4/19/2021
1,LA95135,1,1,4/18/2021
1,104,2,3,4/18/2021
1,54,4,4,4/17/2021
1,286,2,4,4/17/2021
1,330,3,4,4/12/2021
1,304,2,2,4/14/2021
1,175,4,3,4/16/2021
1,150,3,3,4/12/2021
1,89,1,2,4/14/2021
1,85,1,3,4/14/2021
1,12,2,2,4/13/2021
1,341,2,4,4/19/2021
1,31,2,3,4/14/2021
1,340,2,4,4/15/2021
1,334,1,1,4/14/2021
1,197,2,2,4/15/2021
1,110,4,4,4/14/2021
1,100,2,3,4/17/2021
1,4,2,2,4/13/2021
1,47,1,4,4/11/2021
1,72,4,1,4/21/2021
1,168,4,4,4/10/2021
1,35,4,4,4/19/2021
1,AGS2000,4,4,4/15/2021
1,179,4,3,4/18/2021
1,62,2,3,4/15/2021
1,208,4,2,4/17/2021
1,317,4,2,4/23/2021
1,254,1,2,4/12/2021
1,126,3,1,4/20/2021
1,69,4,4,4/12/2021
1,226,2,2,4/11/2021
1,224,3,2,4/17/2021
1,247,2,4,4/15/2021
1,11,4,4,4/13/2021
1,251,3,4,4/14/2021
1,253,2,2,4/14/2021
1,15,2,3,4/15/2021
1,7,4,4,4/16/2021
1,339,4,4,4/9/2021
1,AGS2000,4,4,4/15/2021
1,LA95135,1,1,4/14/2021
1,AGS2000,4,4,4/14/2021
1,144,1,2,4/19/2021
1,348,1,4,4/15/2021
1,148,1,4,4/9/2021
1,77,3,2,4/15/2021
1,284,4,3,4/19/2021
1,48,2,2,4/15/2021
1,39,3,4,4/10/2021
1,LA95135,2,1,4/14/2021
1,246,2,4,4/14/2021
1,288,1,1,4/15/2021
