Entry,Wax.Leaf,Wax.Spike
12VTK4-118,2.75,3.25
14VDH-SRW14-150,1.50,1.75
15VDH-FHB-MAS25-15,4.00,3.00
15VDH-FHB-MAS29-15,3.25,2.50
15VDH-FHB-MAS33-13,3.25,3.75
15VDH-FHB-MAS34-18,4.00,3.25
15VDH-FHB-MAS38-01,1.00,2.25
15VDH-SRW02-307,3.50,2.75
15VDH-SRW06-235,3.75,2.00
15VDH-SRW06-259,3.00,1.50
15VDH-SRW07-231,1.50,2.75
15VDH-SRW12-134,2.75,3.00
15VTK-1-101,3.50,3.50
16VDH-SRW03-018,3.75,3.25
16VDH-SRW03-023,3.00,1.25
16VDH-SRW04-028,2.25,2.00
16VDH-SRW05-074,1.50,1.50
16VDH-SRW05-205,2.25,2.25
16VDH-SRW07-067,2.25,2.75
16VDH-SRW09-025,1.50,1.00
18-T1-UMD,4.21,3.11
18-T2-UMD,3.21,2.11
AR11051-15-3,0.75,1.25
AR12080DH-113,1.25,2.50
AR12080DH-56,1.00,2.00
AR12486-2422N,2.00,2.50
AR12486-2427N,1.50,2.50
AR15V07-15-1804N,2.75,1.50
AR15V21-09-2089N,2.50,2.50
AR15V26-10-2188N,2.50,1.25
ARDH14002-22-0260N,2.25,2.50
ARS16W0088,2.75,0.00
ARS17W0004,3.50,0.50
ARS17W0150,0.00,0.00
ARS17W0181,1.00,0.00
ARS17W0227,2.25,0.00
ARS17W0528,2.00,3.00
ARS17W0552,2.75,3.50
ARS17W0845,1.00,0.00
ARS17W0937,0.50,2.75
ARS17W1116,0.00,0.00
DH13SRW022-23,1.50,1.00
DH15SRW65-53,1.75,3.00
FL14167LDH-180,1.25,2.25
FL15105-LDH018,1.00,1.50
FL15105-LDH039,1.00,2.25
FL15105-LDH084,0.75,1.50
FL15105-LDH086,1.50,1.50
FL15105-LDH092,0.75,1.75
FL15105-LDH110,1.00,1.75
FL15105-LDH111,0.75,1.75
FL15105-LDH145,1.50,1.75
FL15105-LDH159,1.00,1.75
FL15105-LDH168,0.75,2.50
FL15105-LDH177,1.25,2.00
FL15105-LDH182,0.75,2.00
FL15105-LDH253,1.25,1.50
FL15105-LDH261,0.75,2.25
FL16009LDH-16-1PLANT,2.75,3.50
FL16045LDH-25,3.50,3.50
GA10457-4-2-1-6-1-7-19LE13,1.25,0.75
GA11052-3-1-2-19LE15,3.50,2.75
GA-111055-1-2-3-1-19LE12,3.00,3.50
GA121012-13-3-4-19LE8,3.00,4.00
GA12145-6-8-7-19E19,2.75,3.25
GA-12156-12-1-3-19LE11,4.00,2.50
GA12210-8-5-2-19E12,2.75,3.50
GA12271-1-1-5-19LE9,3.00,3.50
GA141077-G5-G95-18ESC27F,1.25,2.75
GA14438LDH-133-19LE23,4.00,4.00
GA151254-LDH071-19E32,3.75,2.75
GA151254-LDH130-19E34,3.75,3.00
GA15VDH-FHB-MAS23-18LE45F,2.25,1.00
GA15VDH-FHB-MAS27-07ADH33F,2.00,1.25
GAFHBMAS14031-201-19E25,2.75,3.00
IL15-27270,2.71,2.61
KY07C-1145-94-12-5,2.00,1.75
LA13082D-WN25-3,1.00,1.25
LA13084D-WN14-2,1.25,2.25
LA13098D-WN10-4,3.75,4.00
LA13148D-WN26-3,3.25,4.00
LA14086LDH-172,2.50,4.00
LA14101LDH-12A,2.50,3.75
LA14151SC-93,1.00,2.25
LA15015-LDH016,3.25,2.50
